2020-09-22 13:43:53 INFO  Waitings:40 - TOTAL TIME that the NEXT DYNAMICALLY LOADED ROW in 'RESULTS LIST' Table web-element was loading: 0.025 seconds.
2020-09-22 13:43:53 INFO  Waitings:40 - TOTAL TIME that the NEXT DYNAMICALLY LOADED ROW in 'RESULTS LIST' Table web-element was loading: 0.029 seconds.
2020-09-22 13:43:53 INFO  Waitings:40 - TOTAL TIME that the NEXT DYNAMICALLY LOADED ROW in 'RESULTS LIST' Table web-element was loading: 0.027 seconds.
2020-09-22 13:43:53 INFO  Waitings:40 - TOTAL TIME that the NEXT DYNAMICALLY LOADED ROW in 'RESULTS LIST' Table web-element was loading: 0.022 seconds.
2020-09-22 13:43:57 INFO  CSR_AnalysisResults:119 - RETRIEVED UNIQUE 'MATERIALS before processing': RF02
2020-09-22 13:43:57 INFO  CSR_AnalysisResults:119 - RETRIEVED UNIQUE 'MATERIALS before processing': RF03
2020-09-22 13:43:57 INFO  CSR_AnalysisResults:119 - RETRIEVED UNIQUE 'MATERIALS before processing': RF01
2020-09-22 13:43:57 INFO  CSR_AnalysisResults:119 - RETRIEVED UNIQUE 'MATERIALS before processing': RF04
2020-09-22 13:43:59 INFO  Waitings:40 - TOTAL TIME that the NEXT DYNAMICALLY LOADED ROW in 'LOG MESSAGES' Table web-element was loading: 0.029 seconds.
2020-09-22 13:43:59 INFO  Waitings:40 - TOTAL TIME that the NEXT DYNAMICALLY LOADED ROW in 'LOG MESSAGES' Table web-element was loading: 0.166 seconds.
2020-09-22 13:43:59 INFO  Waitings:40 - TOTAL TIME that the NEXT DYNAMICALLY LOADED ROW in 'LOG MESSAGES' Table web-element was loading: 0.079 seconds.
2020-09-22 13:43:59 INFO  Waitings:40 - TOTAL TIME that the NEXT DYNAMICALLY LOADED ROW in 'LOG MESSAGES' Table web-element was loading: 0.05 seconds.
2020-09-22 13:43:59 INFO  Waitings:40 - TOTAL TIME that the NEXT DYNAMICALLY LOADED ROW in 'LOG MESSAGES' Table web-element was loading: 0.025 seconds.
2020-09-22 13:43:59 INFO  Waitings:40 - TOTAL TIME that the NEXT DYNAMICALLY LOADED ROW in 'LOG MESSAGES' Table web-element was loading: 0.039 seconds.
2020-09-22 13:43:59 INFO  Waitings:40 - TOTAL TIME that the NEXT DYNAMICALLY LOADED ROW in 'LOG MESSAGES' Table web-element was loading: 0.028 seconds.
2020-09-22 13:43:59 INFO  Waitings:40 - TOTAL TIME that the NEXT DYNAMICALLY LOADED ROW in 'LOG MESSAGES' Table web-element was loading: 0.035 seconds.
2020-09-22 13:44:00 INFO  Waitings:40 - TOTAL TIME that the NEXT DYNAMICALLY LOADED ROW in 'LOG MESSAGES' Table web-element was loading: 0.142 seconds.
2020-09-22 13:44:00 INFO  Waitings:40 - TOTAL TIME that the NEXT DYNAMICALLY LOADED ROW in 'LOG MESSAGES' Table web-element was loading: 0.025 seconds.
2020-09-22 13:44:00 INFO  Waitings:40 - TOTAL TIME that the NEXT DYNAMICALLY LOADED ROW in 'LOG MESSAGES' Table web-element was loading: 0.047 seconds.
2020-09-22 13:44:00 INFO  Waitings:40 - TOTAL TIME that the NEXT DYNAMICALLY LOADED ROW in 'LOG MESSAGES' Table web-element was loading: 0.039 seconds.
2020-09-22 13:44:00 INFO  Waitings:40 - TOTAL TIME that the NEXT DYNAMICALLY LOADED ROW in 'LOG MESSAGES' Table web-element was loading: 0.028 seconds.
2020-09-22 13:44:00 INFO  Waitings:40 - TOTAL TIME that the NEXT DYNAMICALLY LOADED ROW in 'LOG MESSAGES' Table web-element was loading: 0.027 seconds.
2020-09-22 13:44:00 INFO  Waitings:40 - TOTAL TIME that the NEXT DYNAMICALLY LOADED ROW in 'LOG MESSAGES' Table web-element was loading: 0.026 seconds.
2020-09-22 13:44:00 INFO  Waitings:40 - TOTAL TIME that the NEXT DYNAMICALLY LOADED ROW in 'LOG MESSAGES' Table web-element was loading: 0.028 seconds.
2020-09-22 13:44:00 INFO  Waitings:40 - TOTAL TIME that the NEXT DYNAMICALLY LOADED ROW in 'LOG MESSAGES' Table web-element was loading: 0.04 seconds.
2020-09-22 13:44:00 INFO  Waitings:40 - TOTAL TIME that the NEXT DYNAMICALLY LOADED ROW in 'LOG MESSAGES' Table web-element was loading: 0.028 seconds.
2020-09-22 13:44:00 INFO  Waitings:40 - TOTAL TIME that the NEXT DYNAMICALLY LOADED ROW in 'LOG MESSAGES' Table web-element was loading: 0.036 seconds.
2020-09-22 13:44:00 INFO  Waitings:40 - TOTAL TIME that the NEXT DYNAMICALLY LOADED ROW in 'LOG MESSAGES' Table web-element was loading: 0.029 seconds.
2020-09-22 13:44:00 INFO  Waitings:40 - TOTAL TIME that the NEXT DYNAMICALLY LOADED ROW in 'LOG MESSAGES' Table web-element was loading: 0.032 seconds.
2020-09-22 13:44:00 INFO  Waitings:40 - TOTAL TIME that the NEXT DYNAMICALLY LOADED ROW in 'LOG MESSAGES' Table web-element was loading: 0.028 seconds.
2020-09-22 13:44:01 INFO  Waitings:40 - TOTAL TIME that the NEXT DYNAMICALLY LOADED ROW in 'LOG MESSAGES' Table web-element was loading: 0.032 seconds.
2020-09-22 13:44:01 WARN  CSR_AnalysisResults:280 - Retrieved 'Document number' consists of 2 instead of expected 20 digits!
2020-09-22 13:44:01 INFO  Waitings:40 - TOTAL TIME that the NEXT DYNAMICALLY LOADED ROW in 'LOG MESSAGES' Table web-element was loading: 0.016 seconds.
2020-09-22 13:44:01 INFO  CSR_AnalysisResults:278 - DOCUMENT NUMBER was successfully retrieved from the LOG table. It is equal to '00000000000000000550' 
2020-09-22 13:44:01 INFO  Waitings:40 - TOTAL TIME that the NEXT DYNAMICALLY LOADED ROW in 'LOG MESSAGES' Table web-element was loading: 0.02 seconds.
2020-09-22 13:44:01 INFO  CSR_AnalysisResults:278 - DOCUMENT NUMBER was successfully retrieved from the LOG table. It is equal to '00000000000000000551' 
2020-09-22 13:44:02 INFO  Waitings:40 - TOTAL TIME that the NEXT DYNAMICALLY LOADED ROW in 'LOG MESSAGES' Table web-element was loading: 0.02 seconds.
2020-09-22 13:44:02 INFO  CSR_AnalysisResults:278 - DOCUMENT NUMBER was successfully retrieved from the LOG table. It is equal to '00000000000000000552' 
2020-09-22 13:44:02 INFO  Waitings:40 - TOTAL TIME that the NEXT DYNAMICALLY LOADED ROW in 'LOG MESSAGES' Table web-element was loading: 0.014 seconds.
2020-09-22 13:44:02 INFO  CSR_AnalysisResults:278 - DOCUMENT NUMBER was successfully retrieved from the LOG table. It is equal to '00000000000000000553' 
2020-09-22 13:44:02 INFO  Waitings:40 - TOTAL TIME that the NEXT DYNAMICALLY LOADED ROW in 'LOG MESSAGES' Table web-element was loading: 0.018 seconds.
2020-09-22 13:44:02 INFO  CSR_AnalysisResults:278 - DOCUMENT NUMBER was successfully retrieved from the LOG table. It is equal to '00000000000000000550' 
